序号,特征名,传输名,状态
1,贯入度,date120,✅ 已找到
2,推进区间的压力（上）,date16,✅ 已找到
3,推进区间的压力（右）,date17,✅ 已找到
4,推进区间的压力（下）,date18,✅ 已找到
5,推进区间的压力（左）,date19,✅ 已找到
6,土舱土压（右）,date29,✅ 手动补充
7,土舱土压（右下）,date30,✅ 手动补充
8,土舱土压（左）,date31,✅ 手动补充
9,土舱土压（左下）,date32,✅ 手动补充
10,No.16推进千斤顶速度,date7,✅ 手动补充
11,No.4推进千斤顶速度,date8,✅ 手动补充
12,No.8推进千斤顶速度,date9,✅ 手动补充
13,No.12推进千斤顶速度,date10,✅ 手动补充
14,推进油缸总推力,date12,✅ 已找到
15,No.16推进千斤顶行程,date3,✅ 手动补充
16,No.4推进千斤顶行程,date4,✅ 手动补充
17,No.8推进千斤顶行程,date5,✅ 手动补充
18,No.12推进千斤顶行程,date6,✅ 手动补充
19,推进平均速度,date78,✅ 已找到
20,刀盘转速,date76,✅ 已找到
21,刀盘扭矩,date77,✅ 已找到
22,No.1刀盘电机扭矩,date47,✅ 已找到
23,No.2刀盘电机扭矩,date48,✅ 已找到
24,No.3刀盘电机扭矩,date49,✅ 已找到
25,No.4刀盘电机扭矩,date50,✅ 已找到
26,No.5刀盘电机扭矩,date51,✅ 已找到
27,No.6刀盘电机扭矩,date52,✅ 已找到
28,No.7刀盘电机扭矩,date53,✅ 已找到
29,No.8刀盘电机扭矩,date54,✅ 已找到
30,No.9刀盘电机扭矩,date55,✅ 已找到
31,No.10刀盘电机扭矩,date56,✅ 已找到
